Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,pH_T_measured,pH_flag
2021,6,30,46.193,-123.914,-999,9
2021,6,30,46.193,-123.914,-999,9
2021,6,30,46.193,-123.914,7.6845,6
2021,6,30,46.193,-123.914,-999,9
2021,6,30,46.193,-123.914,7.6625,2
2021,6,30,46.193,-123.914,7.6534,2
2021,6,30,46.193,-123.913,7.6546,2
2021,6,30,46.193,-123.913,7.6471,2
2021,6,30,46.193,-123.913,-999,9
2021,6,30,46.193,-123.913,-999,9
2021,7,1,46.131,-124.031,8.0395,2
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.131,-124.031,8.0928,6
2021,7,1,46.131,-124.031,8.0695,2
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.131,-124.031,8.0412,2
2021,7,1,46.131,-124.031,8.0382,2
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.131,-124.031,-999,9
2021,7,1,46.129,-124.09,7.3629,2
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.09,7.9389,6
2021,7,1,46.129,-124.09,8.0855,2
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.09,8.055,2
2021,7,1,46.129,-124.09,8.0444,2
2021,7,1,46.129,-124.09,8.0411,2
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.09,-999,9
2021,7,1,46.129,-124.269,7.3073,2
2021,7,1,46.129,-124.269,-999,9
2021,7,1,46.129,-124.269,7.309,6
2021,7,1,46.129,-124.27,7.32,2
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.27,7.3491,2
2021,7,1,46.129,-124.27,7.4179,2
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.27,7.6356,6
2021,7,1,46.129,-124.27,7.7865,2
2021,7,1,46.129,-124.27,7.9527,2
2021,7,1,46.129,-124.27,8.0076,2
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.27,-999,9
2021,7,1,46.129,-124.526,7.2632,2
2021,7,1,46.129,-124.526,-999,9
2021,7,1,46.129,-124.526,-999,9
2021,7,1,46.129,-124.526,-999,9
2021,7,1,46.129,-124.526,-999,9
2021,7,1,46.128,-124.526,7.2748,6
2021,7,1,46.128,-124.526,7.3108,2
2021,7,1,46.128,-124.526,7.4879,2
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,-999,9
2021,7,1,46.128,-124.526,7.9951,2
2021,7,1,46.128,-124.526,7.9885,2
2021,7,1,46.128,-124.527,7.9825,2
2021,7,1,46.128,-124.527,-999,9
2021,7,1,46.128,-124.527,-999,9
2021,7,1,46.128,-124.527,-999,9
2021,7,1,46.128,-124.669,7.2815,2
2021,7,1,46.128,-124.669,-999,9
2021,7,1,46.128,-124.67,7.2812,6
2021,7,1,46.128,-124.67,-999,9
2021,7,1,46.127,-124.67,-999,9
2021,7,1,46.127,-124.67,7.2701,2
2021,7,1,46.127,-124.67,-999,9
2021,7,1,46.127,-124.671,7.3354,2
2021,7,1,46.127,-124.671,7.3467,2
2021,7,1,46.127,-124.671,-999,9
2021,7,1,46.127,-124.671,7.5004,2
2021,7,1,46.127,-124.672,7.5384,2
2021,7,1,46.127,-124.672,7.5741,2
2021,7,1,46.127,-124.672,7.571,2
2021,7,1,46.126,-124.672,7.8099,6
2021,7,1,46.126,-124.672,-999,9
2021,7,1,46.126,-124.672,-999,9
2021,7,1,46.126,-124.672,7.9016,2
2021,7,1,46.126,-124.673,7.9264,2
2021,7,1,46.126,-124.673,7.9383,2
2021,7,1,46.126,-124.673,-999,9
2021,7,1,46.126,-124.673,-999,9
